app_id,description,price_encoded,release_year_encoded,all_reviews_encoded,all_percent_encoded,all_count_encoded,tags_encoded
1769730,dont lose signal get,1,0,0,0,0,0
1769740,cubes death dpuzzle game story mode single player arcade mode play timetrials friend first release somewhat successful pvp coop story mode next todolist,1,0,0,0,0,6
1769750,autorunner controlled single mouse click levels designed carefully developer played many times get quite tricky pass repetitive boring real fun dodge rocks fires holes get target,1,0,0,0,0,2
1769760,walking forest discover bunker entrance andmeet pip point click adventure game making choices following directions along puzzles ingames youre going magical journey starting nobodys home,1,0,0,0,0,6
1769780,create graffiti art,1,0,4,1,1,6
1769980,marvellous romance hint murder every playthrough different seek love friendship intimate encounters help murdered man find justice watch bats,2,0,6,2,1,0
1770050,every war generals take command army world war ii lead victory strategize way many scenarios real historical military campaigns past generals,1,0,6,1,1,6
1770040,misty tale thirdperson fantasyfighting game swim raft navigate terrain map find remove magical runes fight defenders fulfill request savior,1,0,0,0,0,6
1770080,superfuse comicbookstyled hacknslash arpg rich accessible skill customization system craft unique skills huge array powerful fuses select one three classes embark journey alone friends humanity needs hope hero,1,0,4,1,1,9
1770120,king dead must fight throne use tactics strategy wage war destroy enemies steel magic force yield king island,1,0,0,0,0,1
1770190,filled blood gore loss limbs depicted lighthearted lowpoly style drunken fist zombie hangover whimsical take survival horror featuring physicsbased beat em action ragdoll takedowns sober player would take seriously,1,0,0,0,0,6
1770180,basic multiplayer online pvp combat arena third person fighting game featuring ranged melee style combat large roster playable characters choice three different arenas,0,0,0,0,0,6
1770200,experience pacific atlantic wonders cruise cruise director charge enjoy truly sensational cruise lifetime aboard super luxurious uss liberty waves,1,0,0,0,0,6
1770360,play brave battle mage passes desert catacombs searches way freedom break crowds dangerous enemies improve magic skills,1,0,0,0,0,7
1770350,simple colorful arcade twinstick shooter space,1,0,0,0,0,4
1770390,yokoshima finds office crush hazuki ichinose transferring overseas realizes needs act finally ask,1,0,6,2,1,6
1770400,world overwhelmed new monsters single apprentice adventurer set quest bring peace back land jrpg fully animated combat,2,0,6,2,1,6
1770440,breadbox fascinating retro computer simulator allows step back time experience magic machines visual environment interact hardware old media real,1,0,7,2,1,3
1770500,race around cretacia favorite dino prehistoric kart championship almost big gigantosauruss appetite,2,0,6,1,1,6
1770490,track big racer small paw patrol fastest mission yet win pup cup race around iconic locations including adventure bay jakes snowboarding resort jungle playerchampionship find crowned winner,2,0,7,2,1,6
1770660,worn detective demons fight homicide case solve deluded interactive crime thriller movie pointandclick investigation adrenaline pumped quick time events,1,0,4,1,1,6
1770760,codename tiaras fast paced cyberpunk game focused player movement reaction time overcome obstacles collect data cubes,0,0,4,1,1,2
1770850,foodies boldly rush forward,1,0,0,0,0,6
1770950,application help convert normal jpg jpeg png images degree panorama images batch use exiffixer add meta data panorama images process done upload images facebook weibo interactable image,1,0,0,0,0,2
1771000,cry baby zombie survival shooter lets experience big fight undead variety different environments multiple possibilities escape heavy situation coming day night choice,2,0,0,0,0,4
1771070,nanny short interactive horror story supernatural follow siblings oliver tina quest find nanny disappears middle night welcome new dimension horror welcome midnight scenes,1,0,6,2,1,6
1771120,enter night abandoned place middle forestrealize trapped insidetrying escape survive,1,0,0,0,0,0
1771130,scientific experiment one survives firstperson survival horror game made one developer role random person trapped experiment try get find happening abandoned place,1,0,6,2,1,0
1771200,fast paced retro platform game must think fast run jump swap colour making way floors challenging amusing colour changing mayhem,1,0,7,2,1,2
1771180,fair play physicsbased multiplayer game combines parkour combat football mechanics offer great freedom players,1,0,6,2,1,6
1771210,game hunting rats feeding family going bed,1,0,6,2,1,0
1771260,crossplatform multiplayer realtime strategy fantasy war game set middle ages ads pw free since also available ios android mac platforms,0,0,6,2,1,6
1771300,thrilling storydriven action rpg rich open world set th century medieval europe experience ultimate medieval adventure eyes young henry embark journey epic proportions,2,0,6,2,1,6
1771360,five days save husband arrested gestapo investigate explore form allegiances storyrich rpglite trust,2,0,6,2,1,6
1771380,hidden room escape room containing various puzzles several popular rumors speak hidden treasure somewhere home tom barkley american archaeologist moved germany,0,0,4,1,1,6
1771400,must stay alive horrorpuzzle space adventure survive vengeful ai system taken ship killed everyone else onboard use limited oxygen supply cunning overcome failing systems ai created booby traps explore shipand dont die,1,0,7,2,1,0
1771550,duck duck shark crowdplay game designed around classic hookaduck traditional fairground stall gametwitch interactive game twitch required play game,1,0,0,0,0,2
1771620,dank pit rot undeath take control mortali newest member ragtaggroup dark dwellers fight crawl way subterranean land collect unique weapons learn devastating blood magic spells attempt end maddening curse,1,0,6,1,1,6
