@relation steam_transactions

@attribute steamid string
@attribute apps string

@data
"7.656119796026589e+16","{201070}"
"7.656119796026762e+16","{98900}"
"7.656119796026942e+16","{58230}"
"7.656119796026966e+16","{2833170}"
"7.656119796027005e+16","{347290}"
"7.656119796027099e+16","{305760}"
"7.65611979602719e+16","{2833170}"
"7.6561197960272e+16","{39660,46600}"
"7.656119796027218e+16","{2691830,2892270}"
"7.65611979602722e+16","{2734250,2922410}"
"7.656119796027237e+16","{316700}"
"7.656119796027389e+16","{2710560}"
"7.656119796027514e+16","{2880730}"
"7.65611979602777e+16","{328000}"
"7.656119796027989e+16","{50000}"
"7.656119796028472e+16","{333210}"
"7.656119796028526e+16","{330770}"
"7.65611979602887e+16","{44100}"
"7.656119796029589e+16","{2928520}"
"7.656119796029678e+16","{2842040}"
"7.65611979602971e+16","{336610,2725260}"
"7.656119796030202e+16","{347690}"
"7.656119796031294e+16","{341260}"
"7.65611979603191e+16","{2789460}"
"7.656119796031978e+16","{2520,6600,12450,29160,39660,278530,289840,318690,330470,330660,340700,340800,344300,346550}"
"7.656119796033e+16","{296930}"
"7.656119796033107e+16","{338640}"
"7.65611979603326e+16","{288690}"
"7.656119796033266e+16","{3175860}"
"7.656119796033531e+16","{310110}"
"7.65611979603367e+16","{2909910}"
"7.656119796034058e+16","{303800}"
"7.65611979603429e+16","{336610}"
"7.656119796035346e+16","{2834600}"
"7.656119796035653e+16","{2833840}"
"7.656119796036462e+16","{19200,38210,291630}"
"7.656119796036475e+16","{50000}"
"7.656119796037062e+16","{252190}"
"7.656119796037138e+16","{42500}"
"7.656119796037366e+16","{6210,292670,344270,344300}"
"7.656119796037395e+16","{2971610}"
"7.656119796037915e+16","{116120}"
"7.656119796038486e+16","{304430}"
"7.656119796038534e+16","{3060170}"
"7.656119796039658e+16","{2904000}"
"7.656119796039766e+16","{301690,301700,319400}"
"7.656119796040053e+16","{2716400}"
"7.656119796041029e+16","{346340}"
"7.656119796041035e+16","{346340}"
"7.656119796041197e+16","{2817450}"
"7.656119796041298e+16","{295870}"
"7.656119796041531e+16","{3392980}"
"7.656119796041547e+16","{2694490}"
"7.656119796041613e+16","{314010}"
"7.656119796042051e+16","{2880480}"
"7.656119796042078e+16","{23440,2754380}"
"7.656119796042163e+16","{23380}"
"7.656119796042675e+16","{104000}"
"7.656119796042733e+16","{286380}"
"7.656119796042738e+16","{342970}"
"7.656119796042928e+16","{2727210}"
"7.656119796043096e+16","{330620}"
"7.656119796043517e+16","{2725260}"
"7.656119796043678e+16","{219990}"
"7.6561197960451e+16","{330620}"
"7.656119796045192e+16","{111400}"
"7.656119796045266e+16","{3172500}"
"7.656119796045504e+16","{333930}"
"7.656119796045582e+16","{274480}"
"7.656119796045715e+16","{341530}"
"7.656119796046246e+16","{2815150}"
"7.65611979604631e+16","{2900}"
"7.656119796046416e+16","{341800}"
"7.656119796046557e+16","{337320}"
"7.656119796046848e+16","{274480}"
"7.656119796046962e+16","{18600}"
"7.656119796047136e+16","{2948330}"
"7.65611979604756e+16","{332880}"
"7.656119796047752e+16","{27940}"
"7.656119796047814e+16","{9980,19200,46000,72900,202370,301050}"
"7.656119796048206e+16","{4780}"
"7.656119796048573e+16","{62100}"
"7.656119796049478e+16","{98800}"
"7.65611979604961e+16","{11020}"
"7.656119796049805e+16","{315830}"
"7.656119796049808e+16","{330770}"
"7.656119796050389e+16","{3047070}"
"7.656119796050802e+16","{2794830}"
"7.656119796051282e+16","{50000}"
"7.656119796052131e+16","{3178350}"
"7.656119796052166e+16","{2922410}"
"7.656119796052725e+16","{346550}"
"7.656119796052998e+16","{313080}"
"7.656119796053128e+16","{18600,110500}"
"7.65611979605343e+16","{305760}"
"7.65611979605348e+16","{2701660}"
"7.656119796053586e+16","{3720}"
"7.656119796053848e+16","{299360}"
"7.65611979605394e+16","{273110}"
"7.656119796054229e+16","{279540}"
"7.65611979605441e+16","{2756920}"
"7.656119796055022e+16","{32200}"
"7.656119796055582e+16","{325430}"
"7.656119796057757e+16","{314830}"
"7.656119796057806e+16","{336700}"
"7.656119796057896e+16","{227300}"
"7.656119796060291e+16","{50000}"
"7.65611979606114e+16","{2928520}"
"7.656119796062587e+16","{2812240}"
"7.656119796063248e+16","{29160}"
"7.65611979606398e+16","{332250}"
"7.656119796064266e+16","{290000,324070}"
"7.656119796066795e+16","{279070}"
"7.656119796066914e+16","{3096000}"
"7.656119796068034e+16","{3416070}"
"7.656119796069232e+16","{339400}"
"7.656119796069322e+16","{2920570}"
"7.656119796069368e+16","{58230,300540}"
"7.656119796070338e+16","{9980}"
"7.656119796070342e+16","{305760}"
"7.656119796070778e+16","{3099000}"
"7.656119796072299e+16","{337650}"
"7.656119796073416e+16","{293460}"
"7.65611979607437e+16","{340270}"
"7.65611979607517e+16","{269210}"
"7.656119796075755e+16","{2857000}"
"7.65611979607819e+16","{346250}"
"7.656119796078234e+16","{2731590}"
"7.656119796078922e+16","{339400}"
"7.656119796078949e+16","{2859330}"
"7.656119796079434e+16","{294830}"
"7.656119796080005e+16","{9880}"
"7.65611979608025e+16","{2922410}"
"7.656119796080944e+16","{316370}"
"7.65611979608097e+16","{251950}"
"7.656119796081285e+16","{2750000}"
"7.656119796082021e+16","{4780}"
"7.656119796082256e+16","{3361470}"
"7.656119796082613e+16","{347260}"
"7.65611979608285e+16","{2887660}"
"7.656119796083446e+16","{6600}"
"7.656119796083469e+16","{331190}"
"7.656119796084742e+16","{316020}"
"7.656119796085392e+16","{3177050}"
"7.656119796086902e+16","{273590}"
"7.656119796087093e+16","{10230}"
"7.656119796088226e+16","{3311740}"
"7.656119796088264e+16","{111400}"
"7.656119796088445e+16","{328510}"
"7.656119796090605e+16","{350600}"
"7.6561197960916e+16","{322900}"
"7.65611979609225e+16","{201070}"
"7.656119796092685e+16","{3050220}"
"7.656119796093722e+16","{17740}"
"7.656119796094278e+16","{2906890}"
"7.656119796094466e+16","{109200}"
"7.656119796094834e+16","{275290}"
"7.656119796099928e+16","{202410}"
"7.656119796101773e+16","{340450}"
"7.656119796102003e+16","{46520}"
"7.656119796102174e+16","{2420}"
"7.656119796103803e+16","{271570}"
"7.656119796104637e+16","{313080}"
"7.656119796108949e+16","{339280}"
"7.65611979610935e+16","{32200,42500}"
"7.656119796109405e+16","{2793710}"
"7.65611979610961e+16","{325300,2820820}"
"7.656119796109971e+16","{3011030}"
"7.656119796110506e+16","{3475600}"
"7.656119796110917e+16","{314560}"
"7.656119796111336e+16","{44100}"
"7.656119796114397e+16","{291250,312420}"
"7.656119796114624e+16","{46400,116100,321710}"
"7.656119796115022e+16","{298790}"
"7.65611979611548e+16","{273110}"
"7.6561197961155e+16","{320110}"
"7.656119796115842e+16","{346010}"
"7.656119796116566e+16","{2898900}"
"7.656119796116744e+16","{2520,2990,19200,23150,33660,58230,63640,80300,98500,304500,338110}"
"7.656119796116862e+16","{37800}"
"7.656119796116912e+16","{223710}"
"7.656119796117008e+16","{2828300}"
"7.656119796118472e+16","{2849680}"
"7.656119796118976e+16","{337960}"
"7.656119796119826e+16","{17520}"
"7.656119796119987e+16","{335700,2782610}"
"7.656119796121058e+16","{290970}"
"7.656119796121698e+16","{335770}"
"7.6561197961221e+16","{7620}"
"7.656119796122451e+16","{111400}"
"7.656119796125202e+16","{316480}"
"7.656119796125542e+16","{3311740}"
"7.656119796125558e+16","{310110}"
"7.656119796125674e+16","{277560,288790,291630,348870,3213720,3440240}"
"7.65611979612568e+16","{346330}"
"7.656119796126507e+16","{3371240}"
"7.656119796126914e+16","{205530}"
"7.656119796126976e+16","{252190}"
"7.656119796127573e+16","{80300,110500}"
"7.656119796128022e+16","{282680}"
"7.656119796128528e+16","{202410}"
"7.656119796129722e+16","{310110}"
"7.656119796130683e+16","{42500}"
"7.656119796130958e+16","{104000}"
"7.656119796132211e+16","{202730}"
"7.656119796134458e+16","{298110}"
"7.656119796134771e+16","{2850620}"
"7.656119796135515e+16","{343430}"
"7.656119796135546e+16","{204100}"
"7.65611979613669e+16","{100400}"
"7.656119796137557e+16","{2796180}"
"7.656119796140344e+16","{2820820}"
"7.656119796141038e+16","{310060}"
"7.656119796142131e+16","{2904000}"
"7.656119796144904e+16","{275850}"
"7.656119796149376e+16","{70500}"
"7.656119796149453e+16","{296930}"
"7.656119796149904e+16","{201270}"
"7.65611979615131e+16","{3381370}"
"7.656119796155242e+16","{65980}"
"7.656119796155381e+16","{22330}"
"7.656119796155389e+16","{293920,297410,314370,336090,337630,338980,341730,345700}"
"7.656119796156235e+16","{2706210}"
"7.656119796157402e+16","{314760}"
"7.656119796160605e+16","{328510}"
"7.656119796160704e+16","{340450}"
"7.656119796163595e+16","{342350}"
"7.6561197961636e+16","{325880}"
"7.656119796163922e+16","{274480}"
"7.656119796164398e+16","{2742180}"
"7.656119796166376e+16","{252190}"
"7.656119796168115e+16","{2785280}"
"7.65611979616943e+16","{274960}"
"7.656119796169698e+16","{325160}"
"7.656119796170094e+16","{2731590,2881430}"
"7.656119796170198e+16","{1250}"
"7.656119796171238e+16","{4470}"
"7.656119796173171e+16","{6270}"
"7.656119796173454e+16","{284140,340270}"
"7.656119796174106e+16","{2840190}"
"7.656119796174418e+16","{325320}"
"7.656119796174856e+16","{3273990}"
"7.6561197961756e+16","{3147430}"
"7.656119796175616e+16","{230190}"
"7.656119796176882e+16","{334980}"
"7.65611979618181e+16","{55100}"
"7.656119796182443e+16","{44100}"
"7.656119796183032e+16","{57690}"
"7.656119796183094e+16","{219990}"
"7.65611979618381e+16","{2878980}"
"7.656119796185283e+16","{322900}"
"7.656119796188563e+16","{274520}"
"7.656119796188976e+16","{338830}"
"7.656119796192688e+16","{3322740}"
"7.656119796192986e+16","{27200}"
"7.656119796193882e+16","{336030}"
"7.656119796194109e+16","{310110}"
"7.656119796194629e+16","{2695490}"
"7.65611979619511e+16","{46520,340270,341730}"
"7.656119796195234e+16","{2976900}"
"7.656119796196651e+16","{279920}"
"7.656119796196981e+16","{201420}"
"7.656119796197221e+16","{2855990}"
"7.656119796197243e+16","{111100}"
"7.656119796197245e+16","{282590}"
"7.656119796199678e+16","{336440}"
"7.656119796201451e+16","{347290}"
"7.656119796201731e+16","{348400}"
"7.656119796201736e+16","{310110}"
"7.656119796201757e+16","{35310}"
"7.656119796201885e+16","{2826890}"
"7.656119796201947e+16","{3107230}"
"7.656119796202894e+16","{3182420}"
"7.656119796204074e+16","{3294930}"
"7.656119796204408e+16","{204100}"
"7.65611979620454e+16","{319740}"
"7.656119796204891e+16","{316790}"
"7.656119796205624e+16","{730}"
"7.656119796206509e+16","{2750000}"
"7.65611979620695e+16","{279070}"
"7.65611979620761e+16","{19200}"
"7.656119796208278e+16","{274480,2869510}"
"7.656119796209126e+16","{17740}"
"7.656119796209256e+16","{204100}"
"7.656119796209315e+16","{313130}"
"7.65611979620979e+16","{334920}"
"7.656119796210325e+16","{328000}"
"7.656119796211214e+16","{334140}"
"7.656119796212357e+16","{341730}"
"7.656119796212611e+16","{310110}"
"7.656119796213504e+16","{35800}"
"7.656119796213856e+16","{4230}"
"7.656119796214154e+16","{2696420}"
"7.656119796215262e+16","{58550}"
"7.656119796215955e+16","{250900}"
"7.656119796216299e+16","{8970}"
"7.656119796218373e+16","{12430}"
"7.656119796218451e+16","{12900}"
"7.656119796218869e+16","{312670}"
"7.656119796220774e+16","{316810}"
"7.656119796221094e+16","{2917430}"
"7.656119796222992e+16","{285190}"
"7.656119796224146e+16","{2958790}"
"7.656119796224403e+16","{22320}"
"7.656119796228498e+16","{19200}"
"7.65611979622906e+16","{3047070}"
"7.656119796229773e+16","{29160}"
"7.656119796231045e+16","{271570}"
"7.656119796232402e+16","{344410}"
"7.656119796234194e+16","{12590}"
"7.656119796234597e+16","{302590}"
"7.656119796234818e+16","{50000}"
"7.65611979623589e+16","{3066360}"
"7.656119796236547e+16","{205100}"
"7.65611979623881e+16","{49320}"
"7.656119796244134e+16","{334210}"
"7.656119796245258e+16","{346090}"
"7.656119796245267e+16","{320310}"
"7.656119796247352e+16","{339400}"
"7.6561197962475e+16","{314560}"
"7.656119796248469e+16","{342350}"
"7.65611979624894e+16","{200170}"
"7.656119796249738e+16","{9420}"
"7.656119796251333e+16","{337960}"
"7.656119796255133e+16","{334210}"
"7.656119796255478e+16","{305760}"
"7.656119796256307e+16","{330470}"
"7.6561197962599e+16","{295870}"
"7.656119796260658e+16","{290970}"
"7.656119796260872e+16","{294100}"
"7.656119796262154e+16","{321330}"
"7.65611979626623e+16","{3156770}"
"7.656119796267898e+16","{255710}"
"7.656119796269358e+16","{302590}"
"7.656119796272734e+16","{9880}"
"7.656119796272898e+16","{2742180}"
"7.65611979627468e+16","{3167550}"
"7.656119796280506e+16","{38210}"
"7.656119796281722e+16","{34920}"
"7.656119796282088e+16","{19200}"
"7.656119796282394e+16","{3204650}"
"7.656119796282661e+16","{2882280}"
"7.656119796283685e+16","{282590}"
"7.656119796283808e+16","{284460}"
"7.65611979628485e+16","{329110}"
"7.656119796287648e+16","{2996040}"
"7.656119796288965e+16","{2693120}"
"7.656119796289184e+16","{32340}"
