steamid,app_id
76561197960265841,[1825540]
76561197960265890,[201070]
76561197960267068,[1677970]
76561197960267615,[98900]
76561197960268079,[446110]
76561197960268548,[407110]
76561197960269329,[1196500]
76561197960269409,[631980]
76561197960269425,[58230]
76561197960269662,[2833170]
76561197960270054,"[347290, 1816890]"
76561197960270304,[374040]
76561197960270543,[429830]
76561197960270777,[386930]
76561197960270781,[2207220]
76561197960270819,[1206470]
76561197960270999,[305760]
76561197960271099,[2346410]
76561197960271181,[2498870]
76561197960271629,[1295260]
76561197960271907,[2833170]
76561197960271994,"[39660, 46600, 397780, 1166780, 1238450]"
76561197960272177,"[2691830, 2892270, 1262760, 1784160, 1865100, 2121000]"
76561197960272191,"[2734250, 2922410, 2231230]"
76561197960272374,[316700]
76561197960272871,"[402560, 439370, 462000]"
76561197960273194,[617480]
76561197960273721,[429260]
76561197960273775,[631570]
76561197960273880,[2710560]
76561197960273966,[1239950]
76561197960274314,[460950]
76561197960274445,[470590]
76561197960274549,[1388160]
76561197960275132,"[2880730, 1142230, 2178550, 2484100]"
76561197960275400,[514990]
76561197960276386,[392020]
76561197960276860,[572160]
76561197960277619,[673850]
76561197960277704,[328000]
76561197960277861,[509160]
76561197960279889,"[50000, 1304420, 1354260, 2442460]"
76561197960279937,[463160]
76561197960279959,[1296700]
76561197960280142,[669330]
76561197960280639,[1147860]
76561197960281008,[2421410]
76561197960282146,[1509960]
76561197960283226,[493110]
76561197960284421,[427240]
76561197960284717,[333210]
76561197960284771,[1677110]
76561197960284805,[1260580]
76561197960285247,[1550230]
76561197960285265,[330770]
76561197960286272,[642770]
76561197960286303,"[504450, 564480, 589270, 595920, 617630, 639470, 658630, 661820]"
76561197960286640,[1155300]
76561197960287767,[1843760]
76561197960288709,[44100]
76561197960289188,[1331620]
76561197960289995,[695050]
76561197960291210,[1371500]
76561197960291478,"[493100, 601490]"
76561197960292780,[635050]
76561197960293889,[582560]
76561197960295895,[2928520]
76561197960296037,[2003990]
76561197960296788,[2842040]
76561197960296962,[632470]
76561197960297100,"[2725260, 336610, 701160, 2338140]"
76561197960298124,[602010]
76561197960298332,[1588530]
76561197960299363,[1494450]
76561197960299647,[408030]
76561197960299743,[601930]
76561197960301086,[719660]
76561197960301857,[719080]
76561197960302014,[347690]
76561197960302167,[657000]
76561197960303242,[498190]
76561197960304322,[1967480]
76561197960305554,[681330]
76561197960306025,[1582650]
76561197960306752,[2429530]
76561197960307741,[1143810]
76561197960308043,[1575300]
76561197960309122,"[564710, 587840]"
76561197960310321,"[388140, 573760, 947970, 1371500]"
76561197960310385,[446100]
76561197960312948,[341260]
76561197960313663,[586390]
76561197960313766,[1827740]
76561197960313853,[719660]
76561197960314283,[2363780]
76561197960314689,[2010920]
76561197960315957,[1900890]
76561197960317932,[1482550]
76561197960318650,[451650]
76561197960318836,[707590]
76561197960319107,[2789460]
76561197960319772,"[2520, 6600, 12450, 29160, 39660, 278530, 289840, 318690, 330470, 330660, 340700, 340800, 344300, 346550, 359060, 381050, 385310, 393350, 493450, 515060, 566490, 925040, 933450, 969540, 1249500]"
76561197960321926,[1850050]
76561197960324768,[460540]
76561197960327175,[1995520]
76561197960327284,"[386650, 568400, 667810, 704920, 937870, 2246740]"
76561197960328646,[1585180]
76561197960329169,[1530470]
76561197960329835,[1366150]
76561197960329999,[296930]
76561197960330148,"[435530, 1347030]"
76561197960331076,[338640]
76561197960332185,[384030]
76561197960332616,[288690]
76561197960332649,[3175860]
76561197960333138,[1548800]
76561197960333283,[1931770]
76561197960335314,[908790]
76561197960335317,"[310110, 439370]"
76561197960335566,[427240]
76561197960336080,[438460]
76561197960336697,"[2909910, 1850050, 1914750, 2436680]"
76561197960339970,[1512200]
76561197960340571,[303800]
76561197960340580,[939960]
76561197960342902,[336610]
76561197960343040,[466870]
76561197960343349,[405950]
76561197960344344,"[1390600, 2231870, 2518630]"
76561197960344831,[704760]
76561197960344970,[1728660]
76561197960345731,[674210]
76561197960347806,[1745510]
76561197960348506,[2400690]
76561197960353453,[2834600]
76561197960353641,[1282730]
76561197960354564,[378260]
76561197960355482,[946660]
76561197960355978,[601780]
76561197960356529,"[2833840, 1585250, 2453060]"
76561197960356887,[1983260]
76561197960358046,[1391200]
76561197960361271,[1105670]
76561197960364086,"[1468380, 1961160]"
76561197960364629,"[19200, 38210, 291630, 411080]"
76561197960364635,[1727220]
76561197960364747,"[50000, 524490]"
76561197960366628,[2161410]
76561197960367385,[1143350]
76561197960368386,[2391990]
